,carat,cut,color,clarity,depth,table,x,y,z,city,price
32,2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,Dubai,14208
33,0.71,Very Good,E,VS2,63.5,59.0,5.68,5.59,3.58,Antwerp,2858
34,1.0,Premium,F,SI1,60.3,58.0,6.47,6.43,3.89,Zurich,5292
35,0.5,Ideal,E,SI2,62.4,57.0,5.07,5.03,3.15,Surat,1240
36,0.64,Ideal,G,VVS2,61.8,54.0,5.53,5.56,3.42,Antwerp,2587
37,0.8,Ideal,E,VS2,62.2,57.0,5.95,5.98,3.71,Surat,3648
38,0.3,Ideal,D,SI1,61.9,56.0,4.28,4.31,2.66,London,552
39,0.38,Premium,E,VS2,61.8,58.0,4.61,4.64,2.86,Kimberly,866
40,0.31,Ideal,G,VS1,62.1,55.0,4.33,4.37,2.7,Antwerp,625
41,1.0,Fair,H,SI1,55.2,64.0,6.69,6.64,3.68,New York City,3830
42,0.78,Ideal,G,VS2,61.7,55.0,5.94,5.89,3.65,Surat,3184
43,0.7,Very Good,H,VS1,60.3,63.0,5.77,5.73,3.47,New York City,2399
44,0.31,Ideal,I,VS1,61.3,55.6,4.37,4.4,2.69,Surat,513
45,0.52,Ideal,G,VS2,61.9,55.0,5.15,5.18,3.2,London,1549
46,0.3,Very Good,H,VVS1,63.4,57.0,4.31,4.27,2.72,Tel Aviv,878
47,1.0,Good,J,SI1,63.9,60.0,6.26,6.19,3.98,Luxembourg,3679
48,1.59,Ideal,H,VS1,60.7,56.0,7.54,7.58,4.59,Surat,13839
49,1.01,Good,G,SI1,63.7,60.0,6.32,6.28,4.01,Dubai,5113
50,0.34,Ideal,H,SI1,62.6,56.0,4.48,4.46,2.8,Kimberly,628
51,0.31,Ideal,E,VVS2,60.8,57.0,4.36,4.39,2.66,Zurich,816
52,0.74,Ideal,G,VS2,61.2,56.0,5.82,5.85,3.57,Kimberly,3434
53,1.08,Ideal,I,VS2,61.8,54.0,6.6,6.57,4.07,London,5455
54,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,Dubai,2898
55,0.3,Ideal,H,VVS2,61.5,57.0,4.34,4.31,2.66,Madrid,776
56,1.33,Ideal,I,VVS2,62.2,56.0,7.01,7.04,4.37,Zurich,7887
57,0.58,Ideal,D,SI2,61.2,57.0,5.36,5.4,3.29,Surat,1342
58,0.78,Good,H,VS2,63.7,60.0,5.77,5.73,3.66,London,2440
59,1.65,Ideal,G,VS2,60.8,56.0,7.65,7.7,4.67,Antwerp,14456
60,0.55,Very Good,F,VS1,61.2,56.4,5.28,5.33,3.25,New York City,1975
61,1.64,Ideal,E,SI1,60.7,55.0,7.67,7.64,4.65,Dubai,9801
62,0.3,Premium,E,VS2,62.5,59.0,4.27,4.3,2.68,New York City,658
63,0.41,Ideal,D,VS2,61.7,56.0,4.81,4.78,2.96,Paris,1076
64,0.3,Premium,D,VVS2,62.4,58.0,4.26,4.3,2.67,Antwerp,752
65,1.1,Premium,G,VS2,59.6,60.0,6.72,6.7,4.0,Surat,6121
66,1.03,Ideal,I,SI1,63.3,57.0,6.37,6.46,4.06,Paris,4401
67,0.3,Fair,J,VS2,64.8,58.0,4.24,4.16,2.72,Tel Aviv,416
68,1.02,Premium,I,SI1,62.7,58.0,6.44,6.41,4.03,New York City,4227
69,0.56,Premium,E,VS2,61.8,56.0,5.31,5.28,3.27,London,1915
70,1.13,Premium,I,SI1,61.8,59.0,6.65,6.68,4.12,Surat,4536
71,1.16,Premium,H,SI2,58.8,61.0,6.93,6.84,4.05,Luxembourg,4157
72,0.38,Very Good,F,VS2,59.7,57.0,4.73,4.79,2.84,Kimberly,752
73,1.03,Premium,G,SI1,60.5,60.0,6.52,6.48,3.93,Antwerp,5105
74,0.9,Very Good,E,SI2,62.2,54.0,6.13,6.21,3.84,Amsterdam,3715
75,0.5,Very Good,D,SI1,62.8,58.0,5.02,5.05,3.16,Las Vegas,1415
76,0.3,Ideal,F,SI1,62.2,54.2,4.31,4.34,2.69,Tel Aviv,499
77,0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41,Zurich,2787
78,1.24,Premium,G,VVS1,60.4,59.0,7.02,7.01,4.24,Luxembourg,10485
79,1.0,Premium,J,VVS2,59.6,61.0,6.4,6.36,3.8,Antwerp,3864
80,0.31,Ideal,D,SI2,62.1,57.0,4.34,4.32,2.69,Surat,593
81,0.93,Ideal,H,SI1,62.8,56.0,6.19,6.27,3.91,Antwerp,3988
82,1.06,Ideal,E,SI2,62.2,55.0,6.51,6.54,4.06,Tel Aviv,5223
83,1.21,Ideal,G,SI2,62.1,57.0,6.8,6.85,4.24,New York City,5226
84,0.92,Very Good,D,SI2,62.4,60.0,6.21,6.25,3.89,Amsterdam,4168
85,0.31,Ideal,I,VS1,61.9,54.0,4.34,4.38,2.7,Madrid,489
86,2.01,Good,H,VS2,57.8,60.0,8.29,8.35,4.81,Zurich,18561
87,1.51,Ideal,G,VS1,61.9,57.0,7.37,7.34,4.55,Surat,14674
88,1.83,Very Good,G,VS2,60.5,59.0,7.89,7.99,4.8,Luxembourg,18358
89,0.38,Premium,F,VS1,62.4,59.0,4.57,4.63,2.87,Madrid,933
90,0.23,Premium,F,VVS2,61.3,59.0,3.94,3.99,2.43,Antwerp,445
91,0.92,Ideal,I,SI1,62.1,55.0,6.24,6.29,3.89,Surat,3610
92,1.5,Premium,D,SI1,62.4,58.0,7.27,7.31,4.55,Antwerp,12069
93,0.32,Very Good,G,VS1,62.1,55.0,4.41,4.44,2.75,Madrid,645
94,1.0,Ideal,F,SI2,61.2,57.0,6.39,6.48,3.94,New York City,4372
95,0.31,Very Good,F,VVS1,59.4,57.0,4.39,4.43,2.62,Kimberly,779
96,0.52,Good,F,SI2,58.7,64.0,5.24,5.26,3.08,Paris,1350
97,2.01,Ideal,H,SI2,62.5,53.9,8.04,8.07,5.04,Paris,14998
98,0.31,Ideal,G,VVS2,62.2,55.0,4.32,4.36,2.7,Surat,565
99,0.77,Very Good,J,SI1,61.0,59.0,5.94,5.99,3.64,Las Vegas,2086
100,1.13,Very Good,H,SI2,59.8,59.0,6.75,6.82,4.06,London,4537
101,2.07,Premium,E,SI1,61.2,58.0,8.24,8.19,5.03,Paris,16957
102,0.71,Premium,G,VS2,60.3,59.0,5.79,5.76,3.48,Kimberly,2443
103,1.11,Ideal,F,VS2,60.4,58.0,6.73,6.66,4.04,Kimberly,7275
104,1.56,Ideal,H,VS2,61.5,56.0,7.5,7.46,4.6,London,11636
105,0.34,Very Good,I,VS2,61.6,56.0,4.47,4.51,2.76,Amsterdam,457
106,0.96,Premium,G,SI2,62.7,60.0,6.29,6.11,3.89,Amsterdam,3215
107,0.31,Premium,D,VS2,62.3,55.0,4.35,4.32,2.7,New York City,942
108,0.64,Very Good,G,VS1,60.4,62.0,5.54,5.58,3.36,Las Vegas,2060
109,1.01,Premium,F,VVS1,62.5,58.0,6.41,6.35,3.99,Kimberly,7882
110,0.35,Ideal,H,VVS2,62.5,57.0,4.48,4.54,2.82,Antwerp,706
111,0.7,Premium,F,SI2,62.5,60.0,5.66,5.61,3.52,Kimberly,2373
112,0.3,Ideal,H,VS1,62.1,54.0,4.35,4.32,2.69,London,675
113,0.71,Ideal,H,VVS1,61.1,56.0,5.78,5.81,3.53,Antwerp,3137
114,0.31,Ideal,G,IF,61.1,57.0,4.38,4.42,2.68,Dubai,871
115,2.25,Ideal,E,I1,61.4,54.0,8.52,8.46,5.21,Kimberly,9072
116,1.18,Premium,I,SI1,62.8,56.0,6.74,6.71,4.22,Las Vegas,5088
117,1.22,Very Good,G,SI2,63.2,58.0,6.82,6.76,4.29,Tel Aviv,6409
118,1.72,Ideal,G,VS2,62.8,57.0,7.65,7.58,4.78,Surat,12830
119,2.01,Ideal,F,SI2,61.7,56.0,8.12,8.16,5.02,Las Vegas,18394
120,1.03,Premium,G,SI1,60.1,60.0,6.55,6.52,3.93,Surat,5581
121,1.01,Good,E,SI1,64.3,59.0,6.23,6.28,4.02,Amsterdam,5379
122,1.0,Fair,H,VS1,64.6,59.0,6.3,6.26,4.06,Paris,5242
123,1.1,Ideal,F,VVS2,61.2,56.0,6.66,6.74,4.1,Surat,10487
124,0.59,Ideal,D,IF,60.9,57.0,5.4,5.43,3.3,Surat,4208
125,0.3,Very Good,H,VS2,63.5,59.0,4.27,4.2,2.69,Surat,608
126,0.56,Ideal,E,VS1,61.3,55.0,5.29,5.32,3.25,New York City,1930
127,0.9,Premium,F,SI1,61.7,62.0,6.19,6.13,3.8,Amsterdam,3936
128,0.57,Very Good,E,VS2,60.7,58.0,5.37,5.33,3.25,Madrid,1732
129,0.72,Ideal,D,SI2,61.2,57.0,5.76,5.8,3.54,Luxembourg,2328
130,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,Kimberly,3511
131,0.4,Ideal,G,VVS1,62.1,53.0,4.75,4.79,2.96,Zurich,1043
132,1.22,Premium,I,SI2,62.3,58.0,6.8,6.85,4.25,Amsterdam,4831
133,1.02,Ideal,G,IF,62.3,57.0,6.43,6.5,4.03,Madrid,8955
134,1.08,Ideal,H,VS2,61.8,56.0,6.59,6.55,4.06,New York City,5625
135,0.33,Premium,G,IF,60.8,58.0,4.46,4.42,2.7,Kimberly,1052
136,0.42,Very Good,E,VVS2,59.8,56.0,4.9,4.92,2.94,Amsterdam,1167
137,0.58,Ideal,F,VS1,62.1,56.0,5.38,5.32,3.32,London,2088
138,1.02,Good,G,SI1,63.6,58.0,6.34,6.39,4.05,London,4964
139,1.19,Good,E,VS2,57.4,60.0,6.9,7.0,3.99,Paris,6937
140,2.01,Good,D,SI2,64.6,55.0,7.85,7.98,5.11,Dubai,15394
141,1.15,Very Good,F,SI2,63.1,63.0,6.67,6.57,4.18,Luxembourg,4915
142,0.79,Premium,D,SI2,60.0,60.0,6.07,6.03,3.63,Amsterdam,2853
143,0.32,Premium,D,VS2,62.9,59.0,4.39,4.36,2.75,Amsterdam,842
144,0.31,Ideal,F,VS2,61.6,56.0,4.38,4.35,2.69,Tel Aviv,749
145,0.54,Very Good,F,VS1,61.0,58.0,5.24,5.25,3.2,Kimberly,1813
146,0.5,Very Good,D,VS2,62.8,60.0,5.02,5.08,3.17,Kimberly,1627
147,1.04,Very Good,H,VS2,60.9,58.0,6.5,6.6,3.99,Paris,5447
148,1.41,Ideal,G,VS2,60.8,55.0,7.27,7.2,4.4,Las Vegas,10581
149,0.3,Ideal,E,SI1,61.6,54.0,4.32,4.35,2.67,Tel Aviv,499
150,0.33,Ideal,H,VS1,61.6,55.0,4.46,4.48,2.75,Antwerp,610
151,0.31,Ideal,I,SI2,62.0,54.1,4.32,4.35,2.69,Kimberly,372
152,0.91,Good,G,SI1,64.3,60.0,6.04,6.12,3.91,Antwerp,3344
153,0.75,Very Good,J,SI1,62.4,56.0,5.78,5.82,3.62,Tel Aviv,2083
154,0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,Surat,886
155,0.41,Ideal,D,VVS1,60.6,57.0,4.82,4.79,2.91,Luxembourg,1582
156,1.01,Premium,H,SI2,59.4,62.0,6.47,6.43,3.83,Surat,3083
157,1.02,Very Good,G,VVS1,63.0,58.0,6.4,6.43,4.04,Tel Aviv,7657
158,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,Las Vegas,527
159,0.7,Very Good,F,SI1,62.6,56.0,5.66,5.72,3.56,Madrid,2196
160,1.51,Ideal,I,VS2,62.3,57.0,7.28,7.37,4.56,Surat,9297
161,2.22,Ideal,J,SI2,62.8,57.0,8.33,8.29,5.22,Madrid,13703
162,1.23,Premium,D,SI2,58.9,58.0,6.99,6.97,4.11,Amsterdam,5283
163,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,London,3795
164,0.88,Fair,F,SI1,56.6,65.0,6.39,6.32,3.6,Madrid,2882
165,0.7,Fair,G,SI2,58.6,56.0,5.8,5.74,3.38,Paris,2208
166,0.31,Premium,H,SI1,62.7,58.0,4.34,4.31,2.71,Zurich,558
167,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,Amsterdam,6371
168,1.01,Premium,G,SI2,59.1,59.0,6.55,6.51,3.86,Tel Aviv,4242
169,0.28,Very Good,E,VS1,59.5,59.0,4.29,4.35,2.57,London,487
170,0.51,Premium,F,SI2,61.1,59.0,5.15,5.09,3.13,Kimberly,1227
171,0.52,Ideal,I,VS2,61.9,58.0,5.14,5.17,3.19,Surat,1232
172,0.52,Premium,G,VVS1,59.2,58.0,5.31,5.28,3.14,Zurich,2153
173,0.3,Good,D,SI2,63.3,57.0,4.26,4.3,2.71,Kimberly,447
174,0.42,Premium,D,VVS2,62.8,59.0,4.76,4.73,2.98,Zurich,1241
175,1.82,Premium,H,VS2,61.6,60.0,7.78,7.74,4.78,Kimberly,14749
176,0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,Surat,2845
177,1.37,Ideal,G,VVS2,62.3,55.5,7.05,7.14,4.43,New York City,12207
178,1.0,Premium,G,SI2,62.7,59.0,6.3,6.36,3.97,Luxembourg,4095
179,1.2,Ideal,G,SI2,61.1,57.0,6.83,6.86,4.18,Kimberly,5722
180,1.01,Premium,E,VS1,62.0,59.0,6.42,6.38,3.97,Antwerp,7964
181,0.5,Ideal,H,SI1,61.7,58.0,5.07,5.11,3.14,London,1035
182,1.0,Premium,E,VS1,60.4,59.0,6.51,6.54,3.94,Surat,7744
183,0.31,Ideal,F,IF,61.4,56.0,4.38,4.41,2.7,Las Vegas,1061
184,0.4,Very Good,D,VS2,63.3,58.0,4.63,4.66,2.94,Amsterdam,845
185,1.05,Premium,E,I1,61.4,58.0,6.53,6.46,3.99,Amsterdam,2964
186,1.05,Premium,G,VS2,61.9,59.0,6.56,6.52,4.05,Las Vegas,5821
187,1.0,Good,G,VS1,63.9,55.0,6.34,6.28,4.03,Luxembourg,6028
188,0.3,Very Good,E,VS2,62.4,57.0,4.24,4.26,2.65,Paris,658
189,1.0,Good,G,VVS2,60.9,56.0,6.49,6.52,3.96,Kimberly,7492
190,0.31,Very Good,G,SI1,63.0,56.0,4.3,4.34,2.72,Surat,462
191,0.31,Premium,G,VS2,61.8,58.0,4.35,4.39,2.7,Amsterdam,435
192,0.6,Ideal,F,SI1,61.5,58.0,5.38,5.41,3.32,London,1646
193,0.3,Very Good,D,VS2,62.6,61.0,4.22,4.25,2.65,Kimberly,710
194,0.41,Ideal,G,VVS1,62.1,55.0,4.79,4.74,2.96,Surat,1230
195,0.33,Premium,G,VS1,60.3,58.0,4.5,4.52,2.72,Antwerp,621
196,0.7,Very Good,F,VS1,61.8,59.0,5.66,5.76,3.53,London,2895
197,0.28,Very Good,E,VVS1,62.1,57.0,4.17,4.21,2.6,Las Vegas,707
198,0.7,Very Good,I,VS1,63.3,55.0,5.64,5.6,3.56,Antwerp,1995
199,0.35,Ideal,D,VS1,60.8,57.0,4.61,4.57,2.79,Surat,952
200,1.0,Ideal,G,SI1,61.0,57.0,6.47,6.44,3.94,Kimberly,5622
201,1.0,Fair,G,SI1,43.0,59.0,6.32,6.27,3.97,Zurich,3634
202,1.0,Very Good,G,SI1,62.6,59.0,6.29,6.33,3.95,Surat,4844
203,1.03,Good,D,SI2,57.6,58.0,6.6,6.67,3.82,Dubai,4177
204,0.25,Very Good,F,VVS2,62.0,59.0,3.99,4.04,2.49,Luxembourg,576
205,1.1,Ideal,H,VS2,60.5,57.0,6.73,6.7,4.06,Kimberly,5347
206,1.03,Ideal,G,VVS1,61.7,56.0,6.45,6.56,4.0,Paris,7708
207,1.1,Ideal,D,VS1,61.9,56.0,6.58,6.61,4.09,Dubai,10144
208,0.73,Premium,F,SI2,60.5,57.0,5.84,5.8,3.52,Luxembourg,2351
209,0.71,Ideal,H,VS1,60.3,59.0,5.75,5.79,3.48,Surat,2487
210,0.7,Good,D,VVS1,61.0,61.0,5.69,5.72,3.48,Kimberly,4407
211,1.33,Ideal,G,VVS1,62.2,54.0,7.02,7.06,4.38,Antwerp,12255
212,1.15,Premium,H,SI1,62.0,58.0,6.77,6.66,4.16,Antwerp,5506
213,0.53,Ideal,F,VVS1,61.6,56.0,5.18,5.24,3.21,Zurich,2896
214,1.05,Premium,F,VVS2,61.3,59.0,6.56,6.48,4.0,New York City,8693
215,0.57,Premium,G,VS2,59.7,59.0,5.37,5.41,3.22,Paris,1608
216,0.91,Very Good,E,SI2,60.3,59.0,6.28,6.25,3.78,Surat,3638
217,1.2,Premium,D,VS2,61.6,60.0,6.78,6.72,4.16,Kimberly,8693
218,1.05,Premium,H,SI1,59.3,58.0,6.65,6.61,3.93,Zurich,5161
219,0.34,Ideal,F,VS2,62.2,55.0,4.47,4.5,2.79,Kimberly,641
220,1.19,Premium,I,VS2,61.7,57.0,6.84,6.77,4.2,Antwerp,5439
221,0.53,Good,I,SI2,63.6,58.0,5.08,5.11,3.24,Paris,942
222,1.11,Ideal,E,VS2,61.0,57.0,6.65,6.7,4.08,Amsterdam,9625
223,0.32,Ideal,G,IF,61.1,57.0,4.41,4.43,2.7,New York City,918
224,0.36,Ideal,F,VS2,61.5,55.0,4.6,4.57,2.82,Antwerp,807
225,1.03,Ideal,F,SI2,61.8,56.0,6.49,6.46,4.0,Madrid,4454
226,0.33,Premium,I,VS1,59.5,60.0,4.54,4.5,2.69,London,668
227,0.7,Very Good,F,VS2,62.4,57.0,5.67,5.71,3.55,Paris,2956
228,0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,London,900
229,2.01,Very Good,H,SI1,60.1,60.0,8.25,8.2,4.94,Antwerp,17476
230,0.32,Ideal,G,VS1,61.2,56.0,4.39,4.43,2.7,Las Vegas,645
231,0.9,Good,G,SI2,64.1,56.0,6.12,6.08,3.91,London,3246
232,1.08,Ideal,F,VS2,61.0,57.0,6.61,6.68,4.06,Tel Aviv,7781
233,0.31,Ideal,H,VVS1,61.8,57.0,4.35,4.32,2.68,Las Vegas,907
234,1.02,Premium,H,VS2,61.8,58.0,6.49,6.43,3.99,Antwerp,5241
235,0.35,Ideal,E,VS2,61.6,55.0,4.54,4.49,2.78,Surat,984
236,0.32,Ideal,F,SI1,60.9,55.0,4.46,4.53,2.72,Dubai,586
237,2.53,Premium,H,SI2,62.6,60.0,8.66,8.55,5.39,Surat,14659
238,0.55,Ideal,E,SI1,61.4,55.0,5.29,5.26,3.24,Kimberly,1668
239,0.58,Ideal,H,IF,61.6,57.0,5.34,5.37,3.3,Kimberly,2211
240,0.52,Premium,E,VS2,60.6,58.0,5.23,5.2,3.16,Amsterdam,1622
241,0.7,Good,G,VVS1,58.5,62.0,5.8,5.82,3.4,Zurich,3380
242,0.52,Ideal,H,VS2,61.3,55.0,5.2,5.24,3.2,Paris,1401
243,0.3,Ideal,G,VVS1,62.7,54.0,4.3,4.34,2.71,Las Vegas,764
244,0.71,Ideal,F,VS1,61.7,55.0,5.73,5.77,3.55,New York City,3041
245,0.4,Ideal,G,VVS2,62.6,53.0,4.72,4.77,2.97,Kimberly,917
246,1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,Kimberly,2611
247,0.33,Very Good,F,VVS2,62.5,59.0,4.4,4.47,2.77,New York City,810
248,0.32,Very Good,F,VVS2,62.0,55.0,4.38,4.42,2.73,Surat,717
249,1.5,Very Good,E,VS2,62.1,60.0,7.27,7.31,4.53,London,14256
250,1.02,Good,G,VS2,63.2,57.0,6.38,6.41,4.04,Kimberly,6058
251,0.33,Ideal,E,IF,61.9,57.0,4.41,4.45,2.74,Paris,1129
252,0.65,Premium,D,SI1,60.5,58.0,5.61,5.57,3.38,Kimberly,2134
253,0.3,Ideal,F,IF,59.8,58.0,4.37,4.46,2.64,Dubai,873
254,1.21,Premium,G,SI2,60.3,58.0,6.96,6.9,4.18,Luxembourg,5529
255,0.7,Ideal,I,VVS2,62.7,54.0,5.65,5.69,3.55,Kimberly,2487
256,0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,Kimberly,1443
257,1.54,Premium,D,VS2,62.7,59.0,7.33,7.29,4.58,Antwerp,16921
258,0.43,Very Good,F,SI1,61.6,59.0,4.83,4.87,2.99,Madrid,792
259,0.33,Premium,I,VVS1,61.9,60.0,4.44,4.41,2.74,Tel Aviv,780
260,0.9,Good,I,VVS1,62.4,61.0,6.05,6.09,3.79,London,3972
261,0.31,Ideal,G,IF,61.9,56.0,4.33,4.35,2.68,Tel Aviv,871
262,1.54,Very Good,F,SI1,58.8,60.0,7.54,7.59,4.45,Tel Aviv,11650
263,0.62,Ideal,E,SI1,61.7,54.0,5.53,5.49,3.4,Dubai,2054
264,0.9,Very Good,D,SI1,63.5,57.0,6.15,6.11,3.89,Antwerp,4304
265,0.36,Ideal,H,VS1,61.5,55.0,4.59,4.62,2.83,Dubai,651
266,0.3,Ideal,F,VVS1,62.1,55.0,4.32,4.31,2.68,Madrid,1114
267,1.4,Premium,I,VS1,61.6,59.0,7.22,7.17,4.43,Amsterdam,7722
268,1.7,Very Good,H,SI2,60.8,56.0,7.67,7.72,4.68,Antwerp,10255
269,0.9,Fair,H,VS2,65.5,57.0,6.05,6.01,3.95,Kimberly,3226
270,0.32,Premium,G,VVS2,61.2,59.0,4.39,4.44,2.7,Zurich,730
271,0.33,Ideal,E,VS1,62.7,57.0,4.45,4.38,2.77,Tel Aviv,1002
272,0.73,Very Good,E,SI1,63.3,60.0,5.65,5.7,3.59,Luxembourg,2523
273,1.51,Premium,G,SI1,62.4,62.0,7.25,7.12,4.48,Paris,10688
274,1.0,Premium,E,SI2,61.0,59.0,6.4,6.33,3.89,Surat,3752
275,1.04,Very Good,H,SI1,63.1,58.0,6.43,6.37,4.04,Zurich,4316
276,1.21,Premium,F,VS2,60.1,55.0,7.01,6.91,4.18,Dubai,8870
277,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,Madrid,2946
278,0.83,Very Good,E,SI1,62.1,58.0,6.01,6.04,3.74,Paris,3002
279,1.17,Ideal,J,SI1,62.3,55.0,6.74,6.77,4.21,Dubai,4883
280,0.28,Ideal,F,VS1,62.0,57.0,4.19,4.23,2.61,Amsterdam,598
281,0.53,Ideal,E,VS2,62.4,56.0,5.2,5.16,3.23,Surat,1813
282,1.0,Very Good,I,SI2,60.8,63.0,6.41,6.34,3.88,London,3276
283,0.46,Premium,E,VS1,62.0,58.0,4.95,4.98,3.08,London,1294
284,0.34,Ideal,D,SI1,60.6,56.0,4.54,4.51,2.74,Surat,803
285,0.3,Very Good,E,VS2,62.9,58.0,4.22,4.24,2.66,Surat,658
286,1.01,Very Good,E,VS2,60.4,58.0,6.47,6.51,3.92,Tel Aviv,6666
287,1.26,Ideal,G,SI1,59.6,57.0,7.08,7.04,4.21,Antwerp,6738
288,0.36,Ideal,F,VS1,61.6,56.0,4.62,4.64,2.85,Surat,819
289,2.01,Good,J,SI1,63.6,59.0,7.96,8.01,5.08,Kimberly,12257
290,0.4,Very Good,E,SI1,63.5,57.0,4.72,4.7,2.99,Dubai,882
291,0.42,Ideal,J,VS1,60.9,57.0,4.83,4.86,2.95,New York City,663
292,0.91,Premium,G,SI2,61.3,60.0,6.17,6.2,3.79,Las Vegas,3423
293,0.51,Ideal,G,IF,62.4,54.0,5.12,5.17,3.21,Surat,2096
294,0.32,Very Good,D,VS2,62.5,57.0,4.34,4.39,2.73,New York City,758
295,1.77,Premium,E,VS2,61.6,58.0,7.78,7.71,4.77,Las Vegas,15278
296,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,Dubai,737
297,1.51,Very Good,D,SI2,63.2,59.0,7.25,7.18,4.56,London,7915
298,1.01,Ideal,E,SI1,61.6,57.0,6.44,6.49,3.98,Amsterdam,5206
299,0.91,Premium,G,SI2,59.8,58.0,6.3,6.29,3.77,Dubai,2813
300,0.7,Very Good,D,SI1,62.5,55.0,5.67,5.72,3.56,Zurich,2862
301,0.31,Ideal,D,SI1,62.3,54.0,4.33,4.37,2.71,Luxembourg,571
302,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,Antwerp,2858
303,1.5,Good,J,VS2,63.6,58.0,7.23,7.2,4.59,Zurich,7308
304,0.31,Ideal,D,SI1,61.3,56.0,4.36,4.41,2.69,Las Vegas,565
305,0.31,Ideal,H,VVS1,61.6,57.0,4.35,4.32,2.67,Paris,846
306,1.06,Premium,E,SI1,60.8,58.0,6.59,6.54,3.99,Luxembourg,5485
307,0.32,Ideal,F,VS1,61.0,54.0,4.42,4.44,2.7,Tel Aviv,716
308,1.01,Very Good,E,SI1,63.3,58.0,6.39,6.37,4.04,Kimberly,5077
309,0.57,Ideal,D,VVS1,61.6,56.0,5.33,5.35,3.29,Dubai,3126
310,0.9,Very Good,F,VS2,63.4,58.0,6.07,6.11,3.86,Surat,4400
311,0.46,Ideal,D,VS2,62.4,56.0,4.98,4.95,3.1,Madrid,1298
